기관명,기관유형,주무부처,임직원수,신규채용인원,직원평균보수,임원평균연봉,소재지,채용률,임원연봉_직원보수_비율
한국해양조사협회,기타공공기관,해양수산부,54,2,66656,180136,서울특별시,0.037037037037037,2.702472395583293
한국해양진흥공사,기타공공기관,해양수산부,178,11,83887,250072,부산광역시,0.0617977528089887,2.9810578516337456
한국해외인프라도시개발지원공사,기타공공기관,국토교통부,99,5,83447,177766,서울특별시,0.0505050505050505,2.1302862895011203
한국행정연구원,기타공공기관,국무조정실,118,8,69315,157785,서울특별시,0.0677966101694915,2.276347111014932
한국형사·법무정책연구원,기타공공기관,국무조정실,102,7,70615,170447,서울특별시,0.0686274509803921,2.4137506195567515
한국환경공단,준정부기관(위탁집행형),기후에너지환경부,3233,164,64394,179970,인천광역시,0.0507268790596968,2.794825604870019
한국환경보전원,기타공공기관,기후에너지환경부,238,15,57846,148907,서울특별시,0.0630252100840336,2.5741970058431005
한국환경산업기술원,준정부기관(위탁집행형),기후에너지환경부,662,23,77422,179903,서울특별시,0.0347432024169184,2.323667691353879
한국환경연구원,기타공공기관,국무조정실,237,5,85478,160481,세종특별자치시,0.0210970464135021,1.877453847773696
한식진흥원,기타공공기관,농림축산식품부,44,1,61376,,서울특별시,0.0227272727272727,
한전KDN,공기업(준시장형),기후에너지환경부,3021,96,76544,172792,전라남도,0.0317775571002979,2.257420568561873
한전KPS(주),공기업(준시장형),기후에너지환경부,6669,368,87205,207391,전라남도,0.0551806867596341,2.3782007912390344
한전MCS(주),기타공공기관,기후에너지환경부,4361,585,62063,212830,전라남도,0.1341435450584728,3.4292573675136557
한전원자력연료주식회사,기타공공기관,기후에너지환경부,1172,48,88926,234015,대전광역시,0.0409556313993174,2.6315700694959854
항공안전기술원,기타공공기관,국토교통부,112,4,86112,189683,인천광역시,0.0357142857142857,2.2027475845410627
해양수산과학기술진흥원,기타공공기관,해양수산부,98,5,86516,225295,서울특별시,0.0510204081632653,2.6040847935641964
해양환경공단,공기업(준시장형),해양수산부,739,49,73988,185202,서울특별시,0.0663058186738836,2.503135643617884
